t,phase,target_waypoint,x_wp,y_wp,yaw_wp,x_ref,y_ref,x_real,y_real,z_real,ex,ey,e_pos,vx_real,vx_ref,vx_cmd_eff,vy_cmd_eff,wz_cmd_eff
12.678,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38034,0.0,0.3575043870808506,-0.022011019069922394,0.30870291425748075,0.02283561291914943,0.022011019069922394,0.03171671764053953,-0.013916096208243953,0.03,0.04781907554737854,0.006842051432969578,0.0
12.68,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38039999999999996,0.0,0.3575413464514535,-0.02214736981393059,0.308678717158968,0.022858653548546437,0.02214736981393059,0.0318280384524004,-0.012296307132757735,0.03,0.04782597863740522,0.006877246487462323,0.0
12.682,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38046,0.0,0.3575824387192444,-0.02228102832013495,0.3086571408667134,0.02287756128075563,0.02228102832013495,0.03193473082957464,-0.010654185081348556,0.03,0.047831849448521556,0.00691177516542942,0.0
12.684000000000001,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38052,0.0,0.35762768404475986,-0.02241195278148079,0.308638142159314,0.02289231595524016,0.02241195278148079,0.0320367563475747,-0.008990342689394632,0.03,0.04783668273294045,0.006945626878404954,0.0
12.686,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38058,0.0,0.3576771007952395,-0.022540098663627134,0.3086216740054712,0.022902899204760463,0.022540098663627134,0.03213407599028581,-0.007305406792933034,0.03,0.04784047369028076,0.0069787903538747215,0.0
12.688,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38064,0.0,0.35773070512964167,-0.022665419709678364,0.308607688221142,0.02290929487035831,0.022665419709678364,0.03222665111476682,-0.005600028093232892,0.03,0.04784321807142374,0.007011253886373013,0.0
12.69,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.3807,0.0,0.35778851688829444,-0.02278784895646726,0.3085962244258461,0.022911483111705544,0.02278784895646726,0.032314425856585074,-0.0038747327222511847,0.03,0.047844910705916135,0.0070430005905180604,0.0
12.692,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38076,0.0,0.3578505570522274,-0.02290731917667392,0.30858731696328534,0.022909442947772585,0.02290731917667392,0.03239734322501244,-0.0021299919878150497,0.03,0.04784554613708028,0.00707401351152856,0.0
12.694,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38082,0.0,0.35791684702045407,-0.023023763873965018,0.30858099241624987,0.022903152979545927,0.023023763873965018,0.03247534633115681,-0.0003662431827582838,0.03,0.047845118802672594,0.007104275874045032,0.0
12.696,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38088,0.0,0.35798740822409647,-0.023137117107310024,0.3085772715500003,0.022892591775903526,0.023137117107310024,0.03254837855032942,0.0014160990674407395,0.03,0.04784362313135079,0.007133771038236649,0.0
12.698,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38094,0.0,0.35806226187658075,-0.023247313355841324,0.3085761707749667,0.022877738123419256,0.023247313355841324,0.03261638361174379,0.0032166354261749445,0.03,0.047841053605135894,0.007162482466037266,0.0
12.700000000000001,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.381,0.0,0.35814142883772293,-0.023354287384982506,0.30857770319585254,0.022858571162277075,0.023354287384982506,0.03267930560524868,0.005034977683420167,0.03,0.047837404793408464,0.00719039368769181,0.0
12.702,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38106,0.0,0.35822490765394266,-0.023457968289519234,0.30858190588174667,0.02283509234605735,0.023457968289519234,0.03273710003535831,0.006870199204743532,0.03,0.047832676843970835,0.007217486812240468,0.0
